cell_type,count,ratio
Neutrophil,1100,0.1870748299319728
Normal_RBC,900,0.15306122448979592
Lymphocyte,850,0.1445578231292517
Monocyte,400,0.06802721088435375
Eosinophil,300,0.05102040816326531
Platelet,300,0.05102040816326531
Blast_Cell,280,0.047619047619047616
Elliptocyte,200,0.034013605442176874
Prolymphocyte,180,0.030612244897959183
Schistocyte,170,0.02891156462585034
Hypersegmented_Neutrophil,160,0.027210884353741496
Reactive_Lymphocyte,150,0.025510204081632654
Basophil,150,0.025510204081632654
Spherocyte,150,0.025510204081632654
Sickle_Cell,140,0.023809523809523808
Toxic_Granulation,140,0.023809523809523808
Target_Cell,130,0.022108843537414966
Smudge_Cell,100,0.017006802721088437
Artefact,80,0.013605442176870748
