column,count,mean,std,min,25%,50%,75%,max
anomaly_label,5880.0,0.3197278911564626,0.46641072371400194,0.0,0.0,0.0,1.0,1.0
cell_diameter_um,5880.0,10.176267006802721,3.6420514725255018,1.0,7.63,10.055,12.86,21.18
nucleus_area_pct,5880.0,43.537976190476186,33.41939028774758,0.0,0.0,54.5,72.3,99.0
chromatin_density,5880.0,0.39139421768707483,0.31000557260145384,0.0,0.0,0.4795,0.635,1.0
cytoplasm_ratio,5880.0,0.5641732993197279,0.3352821434781903,0.05,0.276,0.452,1.0,1.0
circularity,5880.0,0.7692632653061224,0.15821892377010474,0.1,0.711,0.805,0.879,1.0
eccentricity,5880.0,0.3654583333333334,0.20150110163505483,0.0,0.21475,0.331,0.456,0.99
granularity_score,5880.0,1.882108843537415,1.4283363613209699,0.0,0.67,1.32,2.98,6.0
lobularity_score,5880.0,1.7692517006802722,1.2293624280497486,1.0,1.0,1.0,2.3,7.2
membrane_smoothness,5880.0,0.8428656462585035,0.09603309751908154,0.29,0.784,0.854,0.918,1.0
cell_area_px,5880.0,336.5710884353741,175.05902111903495,10.0,189.0,334.0,459.25,901.0
perimeter_px,5880.0,64.0688775510204,21.29060504078089,8.0,50.0,64.0,78.0,128.0
mean_r,5880.0,212.11921768707484,19.190628508599968,123.0,199.0,213.0,226.0,255.0
mean_g,5880.0,146.39268707482992,18.836691229520902,89.0,132.0,147.0,160.0,218.0
mean_b,5880.0,168.66496598639455,30.619209209469048,94.0,139.0,176.0,193.0,244.0
stain_intensity,5880.0,0.616362074829932,0.10924025320833762,0.307,0.526,0.615,0.7,1.0
wbc_count_per_ul,5880.0,7043.273979591837,2481.999916446172,1000.0,5371.75,7061.0,8727.5,16855.0
rbc_count_millions_per_ul,5880.0,4.790727891156463,0.8059086827955463,2.11,4.26,4.8,5.34,7.0
hemoglobin_g_dl,5880.0,13.54719387755102,2.0251360446019486,5.4,12.2,13.5,14.9,20.0
hematocrit_pct,5880.0,41.02195578231293,5.484636190296051,20.3,37.3,41.0,44.8,60.0
platelet_count_per_ul,5880.0,249792.62346938776,79472.67622767785,20000.0,194653.25,250070.5,303863.5,543084.0
mcv_fl,5880.0,88.94221088435374,9.927004918258797,60.0,82.3,88.9,95.7,120.0
mchc_g_dl,5880.0,33.49586734693878,1.4801682471573991,28.0,32.5,33.5,34.5,38.0
magnification_x,5880.0,76.00680272108843,25.032177719821924,40.0,60.0,100.0,100.0,100.0
image_resolution_px,5880.0,336.2353741496599,111.92201547315065,224.0,224.0,256.0,360.0,512.0
cytodiffusion_anomaly_score,5880.0,0.31758292517006803,0.3496548653880759,0.0,0.06367500000000001,0.11315,0.74385,1.0
cytodiffusion_classification_confidence,5880.0,0.8532426360544216,0.10658925954446212,0.4173,0.799,0.87745,0.92935,1.0
labeller_confidence_score,5880.0,0.8663698299319729,0.09406462590806378,0.4717,0.81725,0.8834,0.934,1.0
