column,dtype,non_null_count,missing_count,unique_count
cell_id,object,5880,0,5880
cell_type,object,5880,0,19
anomaly_label,int64,5880,0,2
disease_category,object,5880,0,8
cell_diameter_um,float64,5880,0,1472
nucleus_area_pct,float64,5880,0,607
chromatin_density,float64,5880,0,730
cytoplasm_ratio,float64,5880,0,610
circularity,float64,5880,0,727
eccentricity,float64,5880,0,878
granularity_score,float64,5880,0,566
lobularity_score,float64,5880,0,63
membrane_smoothness,float64,5880,0,470
cell_area_px,int64,5880,0,752
perimeter_px,int64,5880,0,118
mean_r,int64,5880,0,111
mean_g,int64,5880,0,114
mean_b,int64,5880,0,143
stain_intensity,float64,5880,0,523
patient_age_group,object,5880,0,3
patient_sex,object,5880,0,2
wbc_count_per_ul,int64,5880,0,4291
rbc_count_millions_per_ul,float64,5880,0,434
hemoglobin_g_dl,float64,5880,0,126
hematocrit_pct,float64,5880,0,317
platelet_count_per_ul,int64,5880,0,5818
mcv_fl,float64,5880,0,523
mchc_g_dl,float64,5880,0,96
dataset_source,object,5880,0,3
staining_protocol,object,5880,0,3
microscope_model,object,5880,0,3
magnification_x,int64,5880,0,3
image_resolution_px,int64,5880,0,4
cytodiffusion_anomaly_score,float64,5880,0,2974
cytodiffusion_classification_confidence,float64,5880,0,2796
labeller_confidence_score,float64,5880,0,2654
